index,Date Sequence,Date Established,latitude,longitude,Park Name,State,Parks/State,Annual Visitors,Acres,Km 2,Visits/Acre,Visits/Km2,Crowding Rank,Dense Crowding Rank,Crowding Rank Bin,Review Rank,Dense Review Rank,Review Rank Bin,1-5 Review,Weather Rank,Dense Weather Rank,Good Weather (mo.),Affordability Rank,Dense Affordability Rank,Affordability Rank Bin,Nightly Avg. Lodging,Biodiversity Rank,Dense Biodiversity Rank,Biodiversity Rank Bin,Num. of Species,Accessibility Rank,Dense Accessibility Rank,Accessibility Rank Bin,Dist to Airport (mi.),Dist to City (mi.),Dist to Airport (km.),Dist to City (km.)
0,13,2/26/1919,44.35,-68.21,Acadia,Maine,1,4069098,49071.4,198.6,82.92,20488.91,59,58,Very Crowded,1,1,Excellent,4.97,33,6,6,43,38,Less Affordable,343,44,42,Moderate Biodiversity,1170,43,43,Limited Access,83.4,274,134.22,440.96
1,51,10/31/1988,-14.3,-170.7,American Samoa,American Samoa,1,8495,8256.67,33.4,1.03,254.34,10,10,Least Crowded,59,11,Average,4.37,1,1,12,26,22,Affordable,232,37,36,High Biodiversity,1352,57,57,Challenging Accessibility,8.7,92.8,14,149.35
2,36,11/12/1971,38.68,-109.57,Arches,Utah,5,1806865,76678.98,310.3,23.56,5822.96,53,53,Very Crowded,9,2,Excellent,4.93,23,5,7,54,48,Expensive,445,53,51,Low Biodiversity,842,25,25,Somewhat Accessible,14.2,233,22.85,374.98
3,39,11/10/1978,43.75,-102.5,Badlands,South Dakota,2,1224226,242755.94,982.4,5.04,1246.16,32,32,Somewhat Crowded,1,1,Excellent,4.97,38,7,5,19,17,Affordable,199,59,56,Low Biodiversity,778,49,49,Challenging Accessibility,54.4,360,87.55,579.36
4,28,6/12/1944,29.25,-103.25,Big Bend,Texas,2,581220,801163.19,3242.2,0.73,179.27,13,13,Least Crowded,19,4,Good,4.77,10,2,10,20,18,Affordable,200,14,13,Very High Biodiversity,1926,55,55,Challenging Accessibility,215,408,346.01,656.61
5,42,6/28/1980,25.65,-80.08,Biscayne,Florida,3,705655,172971.11,700,4.08,1008.08,31,31,Somewhat Crowded,46,8,Fair,4.57,1,1,12,4,4,Very Affordable,147,33,32,High Biodiversity,1373,4,4,Very Accessible,32.3,32.3,51.98,51.98
6,56,10/21/1999,38.57,-107.72,Black Canyon of the Gunnison,Colorado,4,308910,30779.83,124.6,10.04,2479.21,46,46,Crowded,9,2,Excellent,4.93,38,7,5,42,37,Less Affordable,342,56,54,Low Biodiversity,807,33,33,Limited Access,13.8,281,22.21,452.23
7,16,2/25/1928,37.57,-112.18,Bryce Canyon,Utah,5,2104600,35835.08,145,58.73,14514.48,58,57,Very Crowded,1,1,Excellent,4.97,47,8,4,32,28,Affordable,253,51,49,Low Biodiversity,883,39,39,Limited Access,80.3,257,129.23,413.6
8,32,9/12/1964,38.2,-109.93,Canyonlands,Utah,5,911594,337597.84,1366.2,2.7,667.25,22,22,Somewhat Crowded,19,4,Good,4.77,23,5,7,45,40,Less Affordable,351,49,47,Moderate Biodiversity,983,30,30,Somewhat Accessible,26.2,245,42.16,394.29
9,37,12/18/1971,38.2,-111.17,Capitol Reef,Utah,5,1405353,241904.5,979,5.81,1435.5,38,38,Crowded,19,4,Good,4.77,23,5,7,7,7,Very Affordable,157,38,37,Moderate Biodiversity,1249,40,40,Limited Access,118,221,189.9,355.67
10,18,5/14/1930,32.17,-104.44,Carlsbad Caverns,New Mexico,2,349244,46766.45,189.3,7.47,1844.92,42,42,Crowded,17,3,Excellent,4.8,14,3,9,14,13,Very Affordable,176,30,29,High Biodiversity,1431,47,47,Limited Access,84.7,299,136.31,481.19
11,41,3/5/1980,34.01,-119.42,Channel Islands,California,9,319252,249561,1009.9,1.28,316.12,17,17,Somewhat Crowded,46,8,Fair,4.57,1,1,12,47,42,Less Affordable,363,15,14,Very High Biodiversity,1850,22,22,Somewhat Accessible,40.1,119.4,64.53,192.16
12,58,11/10/2003,33.78,-80.78,Congaree,South Carolina,1,215181,26692.6,108,8.06,1992.42,41,41,Crowded,46,8,Fair,4.57,10,2,10,30,26,Affordable,246,39,38,Moderate Biodiversity,1221,9,9,Very Accessible,23.1,96.3,37.18,154.98
